Numero de documentos del corpus:6152
Numero de palabras del corpus:86287
Palabra:_ Frec:297 LogProb:-8.483721112678978
Palabra:__ Frec:3 LogProb:-14.70288963314114
Palabra:___ Frec:2 LogProb:-15.117927132419982
Palabra:_ahhh Frec:1 LogProb:-15.70288963314114
Palabra:_bomb Frec:1 LogProb:-15.70288963314114
Palabra:_deo Frec:1 LogProb:-15.70288963314114
Palabra:_it Frec:1 LogProb:-15.70288963314114
Palabra:_ius Frec:1 LogProb:-15.70288963314114
Palabra:_nberg Frec:1 LogProb:-15.70288963314114
Palabra:_one Frec:1 LogProb:-15.70288963314114
Palabra:_only Frec:1 LogProb:-15.70288963314114
Palabra:_that Frec:1 LogProb:-15.70288963314114
Palabra:_the Frec:1 LogProb:-15.70288963314114
Palabra:_you Frec:1 LogProb:-15.70288963314114
Palabra:a Frec:1797 LogProb:-5.890712327626693
Palabra:aa Frec:3 LogProb:-14.70288963314114
Palabra:aaaa Frec:1 LogProb:-15.70288963314114
Palabra:aannnnd Frec:1 LogProb:-15.70288963314114
Palabra:aar Frec:1 LogProb:-15.70288963314114
Palabra:aaron Frec:1 LogProb:-15.70288963314114
Palabra:ab Frec:2 LogProb:-15.117927132419982
Palabra:aba Frec:15 LogProb:-12.70288963314114
Palabra:abandon Frec:2 LogProb:-15.117927132419982
Palabra:abandoned Frec:3 LogProb:-14.70288963314114
Palabra:abandoning Frec:1 LogProb:-15.70288963314114
Palabra:abandons Frec:1 LogProb:-15.70288963314114
Palabra:abba Frec:1 LogProb:-15.70288963314114
Palabra:abbandoned Frec:1 LogProb:-15.70288963314114
Palabra:abbott Frec:4 LogProb:-14.380961538253777
Palabra:abbruchsimulator Frec:1 LogProb:-15.70288963314114
Palabra:abc Frec:2 LogProb:-15.117927132419982
Palabra:abcnews Frec:1 LogProb:-15.70288963314114
Palabra:abe Frec:2 LogProb:-15.117927132419982
Palabra:abella Frec:1 LogProb:-15.70288963314114
Palabra:aberdeen Frec:1 LogProb:-15.70288963314114
Palabra:abh Frec:1 LogProb:-15.70288963314114
Palabra:abide Frec:1 LogProb:-15.70288963314114
Palabra:ability Frec:3 LogProb:-14.70288963314114
Palabra:ablaze Frec:24 LogProb:-12.059033443366415
Palabra:able Frec:7 LogProb:-13.70288963314114
Palabra:abnormally Frec:1 LogProb:-15.70288963314114
Palabra:abolishing Frec:1 LogProb:-15.70288963314114
Palabra:abomination Frec:4 LogProb:-14.380961538253777
Palabra:aborted Frec:1 LogProb:-15.70288963314114
Palabra:abortion Frec:2 LogProb:-15.117927132419982
Palabra:abortions Frec:2 LogProb:-15.117927132419982
Palabra:abounds Frec:1 LogProb:-15.70288963314114
Palabra:about Frec:193 LogProb:-9.102976790954012
Palabra:above Frec:4 LogProb:-14.380961538253777
Palabra:abq Frec:1 LogProb:-15.70288963314114
Palabra:abrianna Frec:1 LogProb:-15.70288963314114
Palabra:abs Frec:1 LogProb:-15.70288963314114
Palabra:absol Frec:1 LogProb:-15.70288963314114
Palabra:absolute Frec:3 LogProb:-14.70288963314114
Palabra:absolutely Frec:16 LogProb:-12.6154267918908
