Numero de documentos del corpus:4654
Numero de palabras del corpus:67361
Palabra:_ Frec:271 LogProb:-8.333665104591756
Palabra:__ Frec:1 LogProb:-15.421127945842095
Palabra:_a Frec:1 LogProb:-15.421127945842095
Palabra:_bomb Frec:1 LogProb:-15.421127945842095
Palabra:_https Frec:1 LogProb:-15.421127945842095
Palabra:_n Frec:5 LogProb:-13.836165445120939
Palabra:_turns Frec:1 LogProb:-15.421127945842095
Palabra:a Frec:1333 LogProb:-6.039584994657511
Palabra:aa Frec:4 LogProb:-14.099199850954733
Palabra:aaaaaaallll Frec:1 LogProb:-15.421127945842095
Palabra:aaarrrgghhh Frec:1 LogProb:-15.421127945842095
Palabra:aag Frec:1 LogProb:-15.421127945842095
Palabra:aal Frec:1 LogProb:-15.421127945842095
Palabra:aan Frec:1 LogProb:-15.421127945842095
Palabra:aapatwork Frec:1 LogProb:-15.421127945842095
Palabra:aashiqui Frec:1 LogProb:-15.421127945842095
Palabra:ab Frec:3 LogProb:-14.421127945842095
Palabra:aba Frec:6 LogProb:-13.61377302378449
Palabra:abandon Frec:1 LogProb:-15.421127945842095
Palabra:abandoned Frec:13 LogProb:-12.613773023784493
Palabra:abbog Frec:1 LogProb:-15.421127945842095
Palabra:abbswinston Frec:7 LogProb:-13.421127945842096
Palabra:abc Frec:34 LogProb:-11.29184492889713
Palabra:abcnews Frec:3 LogProb:-14.421127945842095
Palabra:abdul Frec:1 LogProb:-15.421127945842095
Palabra:abe Frec:3 LogProb:-14.421127945842095
Palabra:aberystwyth Frec:1 LogProb:-15.421127945842095
Palabra:abha Frec:1 LogProb:-15.421127945842095
Palabra:abia Frec:2 LogProb:-14.836165445120939
Palabra:ability Frec:2 LogProb:-14.836165445120939
Palabra:ablaze Frec:16 LogProb:-12.333665104591756
Palabra:able Frec:5 LogProb:-13.836165445120939
Palabra:ableg Frec:1 LogProb:-15.421127945842095
Palabra:aboard Frec:1 LogProb:-15.421127945842095
Palabra:abomb Frec:1 LogProb:-15.421127945842095
Palabra:aboriginal Frec:1 LogProb:-15.421127945842095
Palabra:abortion Frec:1 LogProb:-15.421127945842095
Palabra:about Frec:112 LogProb:-9.600948983426907
Palabra:abouts Frec:1 LogProb:-15.421127945842095
Palabra:above Frec:2 LogProb:-14.836165445120939
Palabra:abs Frec:1 LogProb:-15.421127945842095
Palabra:absence Frec:1 LogProb:-15.421127945842095
Palabra:absolute Frec:4 LogProb:-14.099199850954733
Palabra:absolutely Frec:4 LogProb:-14.099199850954733
Palabra:abstorm Frec:12 LogProb:-12.720688227701002
Palabra:absurd Frec:1 LogProb:-15.421127945842095
Palabra:abuse Frec:3 LogProb:-14.421127945842095
Palabra:abused Frec:2 LogProb:-14.836165445120939
Palabra:abuses Frec:3 LogProb:-14.421127945842095
Palabra:abusing Frec:2 LogProb:-14.836165445120939
Palabra:ac Frec:3 LogProb:-14.421127945842095
Palabra:acapella Frec:1 LogProb:-15.421127945842095
Palabra:acc Frec:1 LogProb:-15.421127945842095
Palabra:accept Frec:1 LogProb:-15.421127945842095
Palabra:accepte Frec:1 LogProb:-15.421127945842095
Palabra:access Frec:1 LogProb:-15.421127945842095
Palabra:accident Frec:86 LogProb:-9.978184449993368
Palabra:accidentally Frec:3 LogProb:-14.421127945842095
Palabra:accidents Frec:6 LogProb:-13.61377302378449
Palabra:accomplishing Frec:1 LogProb:-15.421127945842095
Palabra:according Frec:5 LogProb:-13.836165445120939
Palabra:account Frec:7 LogProb:-13.421127945842096
Palabra:accounts Frec:3 LogProb:-14.421127945842095
Palabra:accuracy Frec:1 LogProb:-15.421127945842095
Palabra:accurate Frec:1 LogProb:-15.421127945842095
Palabra:accused Frec:5 LogProb:-13.836165445120939
Palabra:accuses Frec:2 LogProb:-14.836165445120939
Palabra:acenewsdesk Frec:1 LogProb:-15.421127945842095
Palabra:achedin Frec:1 LogProb:-15.421127945842095
Palabra:achieved Frec:1 LogProb:-15.421127945842095
Palabra:achimota Frec:1 LogProb:-15.421127945842095
Palabra:acid Frec:5 LogProb:-13.836165445120939
Palabra:ackrrji Frec:1 LogProb:-15.421127945842095
Palabra:acnc Frec:2 LogProb:-14.836165445120939
Palabra:acquiesce Frec:1 LogProb:-15.421127945842095
Palabra:acquire Frec:1 LogProb:-15.421127945842095
Palabra:acquired Frec:1 LogProb:-15.421127945842095
Palabra:acre Frec:1 LogProb:-15.421127945842095
Palabra:acres Frec:10 LogProb:-12.961696327204796
Palabra:across Frec:18 LogProb:-12.17320043239851
Palabra:acrylic Frec:1 LogProb:-15.421127945842095
Palabra:act Frec:8 LogProb:-13.251202944399783
Palabra:acted Frec:1 LogProb:-15.421127945842095
Palabra:acting Frec:2 LogProb:-14.836165445120939
Palabra:action Frec:17 LogProb:-12.251202944399783
Palabra:actions Frec:5 LogProb:-13.836165445120939
Palabra:activated Frec:4 LogProb:-14.099199850954733
Palabra:activates Frec:9 LogProb:-13.099199850954733
Palabra:activation Frec:1 LogProb:-15.421127945842095
Palabra:active Frec:1 LogProb:-15.421127945842095
Palabra:activist Frec:1 LogProb:-15.421127945842095
Palabra:activists Frec:1 LogProb:-15.421127945842095
Palabra:activity Frec:2 LogProb:-14.836165445120939
Palabra:actress Frec:1 LogProb:-15.421127945842095
Palabra:acts Frec:4 LogProb:-14.099199850954733
Palabra:actual Frec:2 LogProb:-14.836165445120939
Palabra:actually Frec:11 LogProb:-12.836165445120939
Palabra:acute Frec:3 LogProb:-14.421127945842095
Palabra:acuu Frec:1 LogProb:-15.421127945842095
Palabra:ad Frec:1 LogProb:-15.421127945842095
Palabra:adam Frec:1 LogProb:-15.421127945842095
Palabra:adamantly Frec:1 LogProb:-15.421127945842095
Palabra:adarius Frec:1 LogProb:-15.421127945842095
Palabra:add Frec:2 LogProb:-14.836165445120939
Palabra:added Frec:5 LogProb:-13.836165445120939
Palabra:addict Frec:1 LogProb:-15.421127945842095
Palabra:adding Frec:2 LogProb:-14.836165445120939
Palabra:address Frec:2 LogProb:-14.836165445120939
Palabra:adjust Frec:1 LogProb:-15.421127945842095
Palabra:adjustable Frec:1 LogProb:-15.421127945842095
Palabra:adjusted Frec:1 LogProb:-15.421127945842095
Palabra:admin Frec:1 LogProb:-15.421127945842095
Palabra:administration Frec:1 LogProb:-15.421127945842095
Palabra:admits Frec:4 LogProb:-14.099199850954733
Palabra:adult Frec:1 LogProb:-15.421127945842095
Palabra:adults Frec:1 LogProb:-15.421127945842095
Palabra:advance Frec:4 LogProb:-14.099199850954733
Palabra:advantage Frec:1 LogProb:-15.421127945842095
Palabra:adventures Frec:1 LogProb:-15.421127945842095
Palabra:adverse Frec:1 LogProb:-15.421127945842095
Palabra:advised Frec:2 LogProb:-14.836165445120939
Palabra:advisory Frec:11 LogProb:-12.836165445120939
Palabra:adxdnnii Frec:1 LogProb:-15.421127945842095
Palabra:ae Frec:2 LogProb:-14.836165445120939
Palabra:aeg Frec:1 LogProb:-15.421127945842095
Palabra:aegofdy Frec:1 LogProb:-15.421127945842095
Palabra:aepr Frec:1 LogProb:-15.421127945842095
Palabra:aeq Frec:1 LogProb:-15.421127945842095
Palabra:aerospace Frec:1 LogProb:-15.421127945842095
Palabra:aesthetic Frec:1 LogProb:-15.421127945842095
Palabra:af Frec:5 LogProb:-13.836165445120939
Palabra:affect Frec:4 LogProb:-14.099199850954733
Palabra:affected Frec:44 LogProb:-10.92927484951242
Palabra:affecting Frec:3 LogProb:-14.421127945842095
Palabra:affects Frec:1 LogProb:-15.421127945842095
